# menu items
"_SITE_TITLE";"Social Network"
"Link has been deleted.";"Link has been deleted."

"Birthdays must include a month and a date.";"Birthdays must include a month and a date."
"Please select a date from the calendar";"Please select a date from the calendar"
"Please select a time from the dropdown";"Please select a time from the dropdown"
"Please select AM or PM";"Please select AM or PM"
"AM/PM value selected without specifying a time";"AM/PM value selected without specifying a time"
"End time cannot be before start time";"End time cannot be before start time"
"By %s";"By %s"
"...";"..."
"An error has occurred processing the request.  The target may no longer exist.";"An error has occurred processing the request.  The target may no longer exist."
"Close";"Close"
",";","
"Sign In or %1$sJoin%2$s";"Sign In or %1$sJoin%2$s"
"and";"and"

# timestamps
"now";"now"
"in a few seconds";"in a few seconds"
"a few seconds ago";"a few seconds ago"
"in %s minute";"in %s minute";"in %s minutes"
"%s minute ago";"%s minute ago";"%s minutes ago"
"in %s hour";"in %s hour";"in %s hours"
"%s hour ago";"%s hour ago";"%s hours ago"

"_ACTIVITY_ACTIONTYPE_LOGIN";"Signing in"
"_ACTIVITY_ACTIONTYPE_LOGOUT";"Signing out"
"_ACTIVITY_ACTIONTYPE_NETWORK_JOIN";"Joining a network"
"_ACTIVITY_ACTIONTYPE_POST";"Posting to someone's profile"
"_ACTIVITY_ACTIONTYPE_POST_SELF";"Posting a status update to your own profile"
"_ACTIVITY_ACTIONTYPE_PROFILE_PHOTO_UPDATE";"Changing your photo"
"_ACTIVITY_ACTIONTYPE_SIGNUP";"Signing up"
"_ACTIVITY_ACTIONTYPE_STATUS";"Updating my status"
"_ACTIVITY_ACTIONTYPE_FIELDS_CHANGE_GENERIC";"Updating my profile"
"_ACTIVITY_ACTIONTYPE_FRIENDS";"When I become friends with someone"
"_ACTIVITY_ACTIONTYPE_FRIENDS_FOLLOW";"When I follow someone"

"_CORE_CONTACT_DESCRIPTION";"If you want to ask us a question directly, please submit your message with the following form."
"_CORE_HELP_CONTACT_MESSAGE";"Name: %1$s
Email: %2$s
Member Info: (%3$s - %4$s)
IP: %5$s
User-agent: %6$s
Timestamp: %7$s
Message:
    %8$s"

"_CORE_PRIVACY_STATEMENT";"This page will contain the privacy statement of your choice."
"_CORE_TERMS_OF_SERVICE";"This page will contain the terms of service of your choice."


"You can no longer respond to this message because %1$s has blocked you.";"You can no longer respond to this message because %1$s has blocked you."


# admin
"Member Level Settings";"Member Level Settings"
"Select Member Level";"Select Member Level"
"Public";"Public"
"Default Level";"Default Level"
"Moderators";"Moderators"
"Admins";"Admins"
"Superadmins";"Super Admins"
"Options";"Options"
"Date";"Date"
"Views";"Views"
"Owner";"Owner"
"delete";"delete"
"Delete Selected";"Delete Selected"
# admin stats
"_CORE_ADMIN_STATS_CORE_VIEWS";"Page views"
"_CORE_ADMIN_STATS_USER_CREATIONS";"Sign-ups"
"_CORE_ADMIN_STATS_USER_LOGINS";"Sign-ins"
"_CORE_ADMIN_STATS_MESSAGES_CREATIONS";"Private messages"
"_CORE_ADMIN_STATS_USER_FRIENDSHIPS";"New friendships"
"_CORE_ADMIN_STATS_CORE_COMMENTS";"Comments"
"_CORE_ADMIN_STATS_CORE_REPORTS";"Abuse reports"

"_CORE_ADMIN_STATS_CORE_UNIQUES";"Unique visitors"
"_CORE_ADMIN_STATS_ACTIVITY_POSTS";"Feed items"
"_CORE_ADMIN_STATS_AD_IMPRESSIONS";"Ad impressions"
"_CORE_ADMIN_STATS_AD_CLICKS";"Ad clicks"

"_CORE_ADMIN_STATS_ANNOUNCEMENT_CREATIONS";"Announcements"
"_CORE_ADMIN_STATS_CORE_EMAILS";"Emails Sent"

#default networks
"Antarctica";"Antarctica"
"Australia";"Australia"
"Africa";"Africa"
"Asia";"Asia"
"Europe";"Europe"
"South America";"South America"
"North America";"North America"

#ads
"CORE_VIEWS_SCRIPTS_ADMINADS_INDEX_DESCRIPTION";"Displaying advertisements is an excellent way to monetize your social network. By creating ad campaigns, you can determine exactly where your ads will appear, how long they will be displayed, and who they will be shown to. The key to generating substantial revenue from your social network is to create targeted ad campaigns. This means that you should make an effort to show specific ads to users based on their interests or personal characteristics (e.g. their profile information). To accomplish this, ad campaigns can be created for specific user levels and/or networks."
"Create New Campaign";"Create New Campaign"
"You currently have no advertising campaigns.";"You currently have no advertising campaigns."

"Create Advertising Campaign";"Create Advertising Campaign"
"Follow this guide to design and launch a new advertising campaign.";"Follow this guide to design and launch a new advertising campaign."
"Campaign Name";"Campaign Name"
"Start Date";"Start Date"
"End Date";"End Date"
"Don't end this campaign on a specific date.";"Don't end this campaign on a specific date."
"End this campaign on a specific date.";"End this campaign on a specific date."
"Total Views Allowed";"Total Views Allowed"
"The campaign will end when this number of views is reached. Enter ""0"" for unlimited views.";"The campaign will end when this number of views is reached. Enter ""0"" for unlimited views."
"Total Clicks Allowed";"Total Clicks Allowed"
"The campaign will end when this number of clicks is reached. Enter ""0"" for unlimited clicks.";"The campaign will end when this number of clicks is reached. Enter ""0"" for unlimited clicks."
"CORE_FORM_ADMIN_ADS_CREATE_LIMITCTR_DESCRIPTION";"If you specify a minimum CTR (click-through ratio, which is the ratio of clicks to views) and the campaign's CTR goes below your limit, the campaign will end. If you decide to specify a minimum CTR limit, you should enter it as a percentage of clicks to views (e.g. 0.05%). To create a campaign with no definite end, don't specify limits and your campaign will continue until you choose to end it."
"CORE_FORM_ADMINS_ADS_CREATE_ADLEVELS_DESCRIPTION";"Specify which member levels will be shown advertisements from this campaign. To show this ad campaign to all member levels, leave them all selected. Use CTRL-click to select or deselect multiple levels."
"Networks";"Networks"
"CORE_FORM_ADMINS_ADS_CREATE_ADNETWORKS_DESCRIPTION";"Specify which networks will be shown advertisements from this campaign. To show this ad campaign to all networks, leave them all selected. Use CTRL-click to select or deselect multiple networks."
"Show this advertisement to visitors that are not logged in.";"Show this advertisement to visitors that are not logged in."
"Create Campaign";"Create Campaign"
"Minimum CTR";"Minimum CTR"
"pause";"pause"
"un-pause";"un-pause"
"CTR";"CTR"
"Clicks";"Clicks"
"Edit Advertising Campaign";"Edit Advertising Campaign"
"Manage Advertisements";"Manage Advertisements"
"Editing Ad Campaign";"Editing Ad Campaign"
"There are no advertisements added to this campaign.";"There are no advertisements added to this campaign."
"Add New Advertisement";"Add New Advertisement"
"CORE_VIEWS_SCRIPTS_ADMINADS_MANAGEADS_DESCRIPTION";"Displaying advertisements is an excellent way to monetize your social network. By creating ad campaigns, you can determine exactly where your ads will appear, how long they will be displayed, and who they will be shown to. The key to generating substantial revenue from your social network is to create targeted ad campaigns. This means that you should make an effort to show specific ads to users based on their interests or personal characteristics (e.g. their profile information). To accomplish this, ad campaigns can be created for specific user levels and/or networks."
"Create Advertisement";"Create Advertisement"
"Follow this guide to design and create a new advertisement.";"Follow this guide to design and create a new advertisement."
"preview";"preview"
"Preview";"Preview"
"HTML Code";"HTML Code"
"Edit HTML";"Edit HTML"
"Edit Advertisement";"Edit Advertisement"
"CORE_FORM_ADMIN_ADS_AD_MEDIATYPE_DESCRIPTION";"Upload a banner image from your computer or specify your advertisement HTML code (e.g. Google Adsense). If you choose to upload an image, it must be a valid GIF, JPG, JPEG, or PNG file under 200kb."
"Upload Banner Image";"Upload Banner Image"
"Insert Banner HTML";"Insert Banner HTML"
"Advertisement Name";"Advertisement Name"
"Advertisement Media";"Advertisement Media"
"CORE_VIEWS_SCRIPTS_FANCYUPLOAD_DESCRIPTION";"This form is just an example fallback for the unobtrusive behaviour of FancyUpload. If this part is not changed, something must be wrong with your code."
"Upload a Photo:";"Upload a Photo:"
"CORE_VIEWS_SCRIPTS_FANCYUPLOAD_ADDPHOTOS";"Click "Add Photos" to select a photo from your computer. After you have selected the photos, they will begin to upload right away. When your upload is finished, you will be able to preview the advertisement."
"done";"done"
"Advertisement Preview";"Advertisement Preview"
"Delete Advertisement";"Delete Advertisement"
"Are you sure you want to delete this advertisement?";"Are you sure you want to delete this advertisement?"
"Delete Ad";"Delete Ad"
"Advertisement Edited.";"Advertisement Edited."
"Ad Campaign Deleted";"Ad Campaign Deleted"
"Advertisement Deleted.";"Advertisement Deleted."
"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"Invalid request method";"Invalid request method"
"No file";"No file"
"Invalid Upload";"Invalid Upload"
"Your changes have been saved.";"Your changes have been saved."
"ITEM_TYPE_CORE_PAGE";"Pages"
" - All unsaved changes to pages or widgets will be lost - ";" - All unsaved changes to pages or widgets will be lost - "
"Any unsaved changes will be lost. Are you sure you want to leave this page?";"Any unsaved changes will be lost. Are you sure you want to leave this page?"
"Your changes to this page have been saved.";"Your changes to this page have been saved."
"The selected layout change will cause %s areas containing widgets to be destroyed. Are you sure you want to continue?";"The selected layout change will cause %s areas containing widgets to be destroyed. Are you sure you want to continue?"
"Tabbed Blocks";"Tabbed Blocks"
"Give your new page a unique name. This will appear in the list of pages in the ""Open Page"" tab.";"Give your new page a unique name. This will appear in the list of pages in the ""Open Page"" tab."
"Page Name";"Page Name"
"Create Page";"Create Page"
"New Page";"New Page"
"Open Page";"Open Page"
"and keep your current layout.";"and keep your current layout."
"Edit Columns";"Edit Columns"
"hide on this page";"hide on this page"
"show on this page";"show on this page"
"Main Content Area";"Main Content Area"
"Available Blocks";"Available Blocks"
"Drop things here to add them to the global footer.";"Drop things here to add them to the global footer."
"Changes made to this form will not be saved.  Please adjust the permissions (CHMOD) of file %s to 777 and try again.";"Changes made to this form will not be saved.  Please adjust the permissions (CHMOD) of file %s to 777 and try again."
"Select a new column layout for this page.";"Select a new column layout for this page."
"Edit Page Info";"Edit Page Info"
"Page Title <span>(title tag)</span>";"Page Title <span>(title tag)</span>"
"Page Keywords <span>(meta tag)</span>";"Page Keywords <span>(meta tag)</span>"
"Page Description <span>(meta tag)</span>";"Page Description <span>(meta tag)</span>"
"Page URL";"Page URL"
"Page Name <span>(for your reference only)</span>";"Page Name <span>(for your reference only)</span>"
"The URL may only contain alphanumeric characters and dashes - any other characters will be stripped. The full url will be http://www.yoursite.com/pages/[url]";"The URL may only contain alphanumeric characters and dashes - any other characters will be stripped. The full url will be http://www.yoursite.com/pages/[url]"
"Error: no values";"Error: no values"
"Global Footer";"Global Footer"

"Missing theme";"Missing theme"
"Not in theme files";"Not in theme files"
"Not writeable";"Not writeable"
"Could not create backup";"Could not create backup"
"Could not save contents";"Could not save contents"
"Bad params";"Bad params"
"Please select the type of log you wish to view from the filter above.";"Please select the type of log you wish to view from the filter above."
"Language Manager";"Language Manager"
"CORE_VIEWS_SCRIPTS_ADMINLANGUAGE_EDIT_DESCRIPTION";"The language phrases in this pack are show below. If you're looking for a specific phrase, use the search box below to find it. Be sure to click ""Save Changes"" before moving to the next page of phrases if you want to keep your changes. Benealth each phrase, you'll see the original phrase for your reference. This is useful if you've lost or accidentally deleted a phrase. Some phrases are in plural form - you'll see examples of numbers used for these phrases in italics."
"This phrase is pluralized. Example values:";"This phrase is pluralized. Example values:"
"When you've finished editing this language pack, you can return to the %s.";"When you've finished editing this language pack, you can return to the %s."
"Previous Page";"Previous Page"
"CORE_VIEWS_SCRIPTS_ADMINLANGUAGE_INDEX_DESCRIPTION";"The layout of your community includes hundreds of phrases of text which are stored in a language pack. If you want to change any of these phrases, you can edit a language pack below. If you want to allow your members to pick from multiple languages, you can also create or import additional packs. If you have multiple packs installed, the pack you've marked as your ""default"" will be the language that displays if a member has not specified their language of choice."
"Upload New Pack";"Upload New Pack"
"Create New Pack";"Create New Pack"
"edit phrases";"edit phrases"
"export";"export"
"default";"default"
"Delete Report?";"Delete Report?"
"Are you sure that you want to delete this report? It will not be recoverable after being deleted.";"Are you sure that you want to delete this report? It will not be recoverable after being deleted."
"Delete the selected reports?";"Delete the selected reports?"
"Are you sure that you want to delete this %d report? It will not be recoverable after being deleted.";"Are you sure that you want to delete this %d report? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %d reports? They will not be recoverable after being deleted."
"Abuse Reports";"Abuse Reports"
"This page lists all of the reports your users have sent in regarding inappropriate content, system abuse, spam, and so forth. You can use the search field to look for reports that contain a particular word or phrase. Very old reports are periodically deleted by the system.";"This page lists all of the reports your users have sent in regarding inappropriate content, system abuse, spam, and so forth. You can use the search field to look for reports that contain a particular word or phrase. Very old reports are periodically deleted by the system."
"Dismiss Selected";"Dismiss Selected"
"There are currently no outstanding abuse reports.";"There are currently no outstanding abuse reports."
"Content Type";"Content Type"
"Site-wide Statistics";"Site-wide Statistics"
"CORE_VIEWS_SCRIPTS_ADMINSTATS_INDEX_DESCRIPTION";"Stay connected to the pulse of your community by observing your site-wide statistics. The filters below allow you to observe various metrics and their change over different time periods."
"Top Referring Sites";"Top Referring Sites"
"CORE_VIEWS_SCRIPTS_ADMINSTATS_REFERRERS_DESCRIPTION";"These are the 100 most common referring URLs tracked from your homepage. This indicates where most of your new traffic is coming from. Clearing the list periodically will give you fresh referrer data."
"Are you sure you want to clear the referrers?";"Are you sure you want to clear the referrers?"
"Hits";"Hits"
"Referring URL";"Referring URL"
"There have not been any referrers logged yet.";"There have not been any referrers logged yet."
"CORE_VIEWS_SCRIPTS_ADMINSYSTEM_LOG_DESCRIPTION";"System logs are helpful for troubleshooting and debugging. Select the log you would like to view below."
"Empty Log";"Empty Log"
"Error log";"Error log"
"Language log";"Language log"
"Video encoding log";"Video encoding log"
"Show %s Line";"Show %s Line";"Show %s Lines"
"Show 100 Lines";"Show 100 Lines"
"Show 1000 Lines";"Show 1000 Lines"
"Show 5000 Lines";"Show 5000 Lines"
"Show 10000 Lines";"Show 10000 Lines"
"Show 50000 Lines";"Show 50000 Lines"
"View Log";"View Log"
"Are you sure you want to empty the %s";"Are you sure you want to empty the %s"
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_INDEX_DESCRIPTION";"Customize your community's overall look and feel by editing your current theme or choosing a new one. Themes consist of CSS files, which you can edit directly right here or via FTP on your server. If you want to make custom changes here, select the CSS file you want to edit from the pull-down menu below. If you would rather just pick an entirely different theme, use the theme chooser at the bottom. Customize your community's overall look and feel by editing your current theme or choosing a new one. Your theme consists of several CSS files. If you want to make custom changes to these files, select the one you want to edit from the pull-down below. If you would rather just pick an entirely different theme, use the theme chooser at the bottom."
"If you leave the page now, your changes will be lost. Are you sure you want to continue?";"If you leave the page now, your changes will be lost. Are you sure you want to continue?"
"Your changes have been saved!";"Your changes have been saved!"
"An error has occurred. Changes could NOT be saved.";"An error has occurred. Changes could NOT be saved."
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_INDEX_REVERTTHEMEFILE";"Are you sure that you want to revert all the changes you have made to this theme? If yes, the original theme will be restored immediately and your changes lost. If you want to backup your changes, export it to your computer first."
"Edit your current theme:";"Edit your current theme:"
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_INDEX_STYLESHEETSPERMISSION";"The stylesheets for your current theme are not writeable. Please set full permissions recursively (CHMOD -R 0777) on ""application/themes/%s"" and try again."
"CORE_VIEWS_SCRIPTS_ADMINTHEMES_INDEX_REVERTTHEMECHANGES";"Are you sure that you want to revert all the changes you have made to this theme? If yes, the original theme will be restored immediately and your changes lost. If you want to backup your changes, export it to your computer first."
"Upload Theme";"Upload Theme"

"%s's Dashboard";"%s's Dashboard"
"View Members";"View Members"
"View Abuse Reports";"View Abuse Reports"
"Manage Plugins";"Manage Plugins"
"Edit Site Layout";"Edit Site Layout"
"Edit Site Theme";"Edit Site Theme"
"View Statistics";"View Statistics"
"Post Announcement";"Post Announcement"
"Get More Plugins";"Get More Plugins"
"Get More Themes";"Get More Themes"
"SocialEngine Control Panel";"SocialEngine Control Panel"

"You're signed-in as %s";"You're signed-in as %s"
"back to network";"back to network"
"sign out";"sign out"

"News & Updates";"News & Updates"
"More SE News";"More SE News"

"Select Language: ";"Select Language: "

#locale
"US/Pacific";"US/Pacific"
"(UTC-8) Pacific Time (US & Canada)";"(UTC-8) Pacific Time (US & Canada)"
"US/Mountain";"US/Mountain"
"(UTC-7) Mountain Time (US & Canada)";"(UTC-7) Mountain Time (US & Canada)"
"US/Central";"US/Central"
"(UTC-6) Central Time (US & Canada)";"(UTC-6) Central Time (US & Canada)"
"US/Eastern";"US/Eastern"
"(UTC-5) Eastern Time (US & Canada)";"(UTC-5) Eastern Time (US & Canada)"
"America/Halifax";"America/Halifax"
"(UTC-4)  Atlantic Time (Canada)";"(UTC-4)  Atlantic Time (Canada)"
"America/Anchorage";"America/Anchorage"
"(UTC-9)  Alaska (US & Canada)";"(UTC-9)  Alaska (US & Canada)"
"Pacific/Honolulu";"Pacific/Honolulu"
"(UTC-10) Hawaii (US)";"(UTC-10) Hawaii (US)"
"Pacific/Samoa";"Pacific/Samoa"
"(UTC-11) Midway Island, Samoa";"(UTC-11) Midway Island, Samoa"
"Etc/GMT-12";"Etc/GMT-12"
"(UTC-12) Eniwetok, Kwajalein";"(UTC-12) Eniwetok, Kwajalein"
"Canada/Newfoundland";"Canada/Newfoundland"
"(UTC-3:30) Canada/Newfoundland";"(UTC-3:30) Canada/Newfoundland"
"America/Buenos_Aires";"America/Buenos_Aires"
"(UTC-3) Brasilia, Buenos Aires, Georgetown";"(UTC-3) Brasilia, Buenos Aires, Georgetown"
"Atlantic/South_Georgia";"Atlantic/South_Georgia"
"(UTC-2) Mid-Atlantic";"(UTC-2) Mid-Atlantic"
"Atlantic/Azores";"Atlantic/Azores"
"(UTC-1) Azores, Cape Verde Is.";"(UTC-1) Azores, Cape Verde Is."
"Europe/London";"Europe/London"
"Greenwich Mean Time (Lisbon, London)";"Greenwich Mean Time (Lisbon, London)"
"Europe/Berlin";"Europe/Berlin"
"(UTC+1) Amsterdam, Berlin, Paris, Rome, Madrid";"(UTC+1) Amsterdam, Berlin, Paris, Rome, Madrid"
"Europe/Athens";"Europe/Athens"
"(UTC+2) Athens, Helsinki, Istanbul, Cairo, E. Europe";"(UTC+2) Athens, Helsinki, Istanbul, Cairo, E. Europe"
"Europe/Moscow";"Europe/Moscow"
"(UTC+3) Baghdad, Kuwait, Nairobi, Moscow";"(UTC+3) Baghdad, Kuwait, Nairobi, Moscow"
"Iran";"Iran"
"(UTC+3:30) Tehran";"(UTC+3:30) Tehran"
"Asia/Dubai";"Asia/Dubai"
"(UTC+4) Abu Dhabi, Kazan, Muscat";"(UTC+4) Abu Dhabi, Kazan, Muscat"
"Asia/Kabul";"Asia/Kabul"
"(UTC+4:30) Kabul";"(UTC+4:30) Kabul"
"Asia/Yekaterinburg";"Asia/Yekaterinburg"
"(UTC+5) Islamabad, Karachi, Tashkent";"(UTC+5) Islamabad, Karachi, Tashkent"
"Asia/Dili";"Asia/Dili"
"(UTC+5:30) Bombay, Calcutta, New Delhi";"(UTC+5:30) Bombay, Calcutta, New Delhi"
"Asia/Katmandu";"Asia/Katmandu"
"(UTC+5:45) Nepal";"(UTC+5:45) Nepal"
"Asia/Omsk";"Asia/Omsk"
"(UTC+6) Almaty, Dhaka";"(UTC+6) Almaty, Dhaka"
"India/Cocos";"India/Cocos"
"(UTC+6:30) Cocos Islands, Yangon";"(UTC+6:30) Cocos Islands, Yangon"
"Asia/Krasnoyarsk";"Asia/Krasnoyarsk"
"(UTC+7) Bangkok, Jakarta, Hanoi";"(UTC+7) Bangkok, Jakarta, Hanoi"
"Asia/Hong_Kong";"Asia/Hong_Kong"
"(UTC+8) Beijing, Hong Kong, Singapore, Taipei";"(UTC+8) Beijing, Hong Kong, Singapore, Taipei"
"Asia/Tokyo";"Asia/Tokyo"
"(UTC+9) Tokyo, Osaka, Sapporto, Seoul, Yakutsk";"(UTC+9) Tokyo, Osaka, Sapporto, Seoul, Yakutsk"
"Australia/Adelaide";"Australia/Adelaide"
"(UTC+9:30) Adelaide, Darwin";"(UTC+9:30) Adelaide, Darwin"
"Australia/Sydney";"Australia/Sydney"
"(UTC+10) Brisbane, Melbourne, Sydney, Guam";"(UTC+10) Brisbane, Melbourne, Sydney, Guam"
"Asia/Magadan";"Asia/Magadan"
"(UTC+11) Magadan, Soloman Is., New Caledonia";"(UTC+11) Magadan, Soloman Is., New Caledonia"
"Pacific/Auckland";"Pacific/Auckland"
"(UTC+12) Fiji, Kamchatka, Marshall Is., Wellington";"(UTC+12) Fiji, Kamchatka, Marshall Is., Wellington"

# widget: admin-statistics
"Network Information";"Network Information"
"License Key";"License Key"
"Created";"Created"
"Statistics";"Statistics"
"Today";"Today"
"Total";"Total"
"Page Views";"Page Views"
"Sign-ins";"Sign-ins"
"Private Messages";"Private Messages"
"Friendships";"Friendships"
"Comments";"Comments"

# misc
"Yes";"Yes"
"No";"No"

"Are you sure you want to delete these file(s)?";"Are you sure you want to delete these file(s)?"
"Delete!";"Delete!"
"Unable to delete";"Unable to delete"
"File failed to upload. Check your server settings (such as php.ini max_upload_filesize).";"File failed to upload. Check your server settings (such as php.ini max_upload_filesize)."
"File already exists. Please delete before trying to upload.";"File already exists. Please %s before trying to upload."

"Path is not writeable. Please CHMOD 0777 the public/admin directory.";"Path is not writeable. Please CHMOD 0777 the public/admin directory."
"Unable to move file to upload directory.";"Unable to move file to upload directory."
"Back to File Manager";"Back to File Manager"
"No";"No"

# composer
"Attach";"Attach"
"Don't show an image";"Don't show an image"
"Choose Image:";"Choose Image:"
"%d of %d";"%d of %d"

"Select File";"Select File"
"Control Panel";"Control Panel"

"Profile Views: %s view";"Profile Views: %s view";"Profile Views: %s views"
"Friends: %s friend";"Friends: %s friend";"Friends: %s friends"
"Last Update: %s";"Last Update: %s"
"Joined: %s";"Joined: %s"

"Nothing has been posted here yet - be the first!";"Nothing has been posted here yet - be the first!"
"Post Something...";"Post Something..."
"Popular Members";"Popular Members"
"View Recent Updates";"View Recent Updates"
"View My Profile";"View My Profile"
"Add Link";"Add Link"
"Don't show an image";"Don't show an image"
"Choose Image:";"Choose Image:"
"What's New";"What's New"
"Copyright &copy;%s";"Copyright &copy;%s"
"Contact";"Contact"

"Add to My Friends";"Add to My Friends"
"Networks:";"Networks:"
"Send To";"Send To"
"settings";"settings"
"enable";"enable"
"Add New Plugin";"Add New Plugin"
"Find More Plugins";"Find More Plugins"
"Version";"Version"

"Layout Editor";"Layout Editor"
"CORE_LAYOUT_DESC";"Use the layout editor to decide what content appears on specific pages or in your site-wide header and footer. Click and drag the colored ""blocks"" to arrange the content you want on each page. Drag blocks to and from the ""Available Blocks"" area to add or remove them from your page. Use ""HTML Blocks"" if you want to drop in raw HTML or other content."
"Editing:";"Editing:"
"Note: Some blocks won't appear if you're not signed-in or if they don't belong on this page.";"Note: Some blocks won't appear if you're not signed-in or if they don't belong on this page."

"CORE_VIEWS_SCRIPTS_ADMINPLUGINS_DESCRIPTION";"Plugins can extend and enhance many aspects of your social network. They often add new features for members, making your community more attractive and interactive. They can also give you more control over how your social network operates. If you've recently purchased a new plugin, you can install it by clicking the ""Add New Plugin"" link below."

"These settings affect your entire community and all your members.";"These settings affect your entire community and all your members."
"Maintenance Mode";"Maintenance Mode"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_DESCRIPTION";"Maintenance Mode will prevent site visitors from accessing your website.  You can customize the maintenance mode page by manually editing the file ""/application/maintenance.html""."
"Online";"Online"
"Offline (Maintenance Mode)";"Offline (Maintenance Mode)"

"Site Title";"Site Title"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_SITETITLE_DESCRIPTION";"Give your community a unique name. This will appear in the <title> tag throughout most of your site."

"Site Description";"Site Description"
"CORE_FORM_ADMIN_SETTINGS_GENERAL_SITEDESCRIPTION_DESCRIPTION";"Enter a brief, concise description of your community. Include any key words or phrases that you want to appear in search engine listings."

"Site Keywords";"Site Keywords"
